lat,lng,province,province_id,region,region_id,date,month,season,hazard_type,hazard_type_id,base_flood_risk,base_landslide_risk,base_storm_risk,weather_avg_temp,weather_max_temp,weather_min_temp,weather_total_precip_30d,weather_max_daily_precip,weather_avg_wind,weather_max_wind,weather_days_with_rain,weather_days_heavy_rain,risk_level
11.387133,107.742612,Bình Thuận,38,central,1,2023-04-10,4,0,landslide,1,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
13.157958,109.108947,Phú Yên,35,central,1,2020-02-03,2,0,landslide,1,4,2,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
21.076886,105.577184,Hòa Bình,8,north,0,2022-03-21,3,0,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
11.118744,108.192957,Bình Thuận,38,central,1,2023-03-04,3,0,landslide,1,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
20.517709,106.373208,Thái Bình,21,north,0,2022-08-10,8,2,flood,0,4,1,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
21.35268,105.996459,Vĩnh Phúc,16,north,0,2022-07-03,7,2,landslide,1,2,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
21.562092,103.725608,Sơn La,6,north,0,2023-10-03,10,2,landslide,1,3,5,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
10.005168,105.760849,Đồng Tháp,55,south,3,2022-10-22,10,2,storm,2,5,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
11.287711,107.202211,Đồng Nai,48,south,3,2020-02-07,2,0,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
14.397386,108.472387,Gia Lai,40,highlands,2,2020-01-14,1,0,flood,0,3,3,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
19.376871,105.972016,Thanh Hóa,25,central,1,2021-04-24,4,0,storm,2,5,3,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
17.390827,106.61771,Quảng Bình,28,central,1,2023-05-08,5,1,storm,2,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
17.864178,106.112031,Hà Tĩnh,27,central,1,2021-06-15,6,2,flood,0,5,3,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
21.361569,106.610539,Hải Dương,19,north,0,2020-09-10,9,2,landslide,1,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
10.651537,106.509477,TP.HCM,44,south,3,2020-04-25,4,0,storm,2,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
12.100886,109.223954,Khánh Hòa,36,central,1,2021-01-27,1,0,flood,0,4,2,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
11.487725,108.167073,Lâm Đồng,43,highlands,2,2023-09-29,9,2,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
20.957724,104.81812,Phú Thọ,15,north,0,2022-10-14,10,2,flood,0,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
23.209538,104.745143,Hà Giang,14,north,0,2020-05-19,5,1,storm,2,4,5,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.137872,106.212176,Bến Tre,52,south,3,2022-08-22,8,2,landslide,1,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.493514,106.427194,Bến Tre,52,south,3,2023-08-22,8,2,flood,0,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
21.130896,106.00649,Hải Dương,19,north,0,2021-10-21,10,2,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
20.463701,106.448964,Ninh Bình,24,north,0,2023-11-26,11,1,landslide,1,4,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
21.416032,105.992763,Bắc Giang,17,north,0,2022-03-26,3,0,landslide,1,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
20.059225,106.255736,Ninh Bình,24,north,0,2021-08-20,8,2,flood,0,4,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
15.525337,108.902556,Quảng Ngãi,33,central,1,2021-04-19,4,0,landslide,1,5,3,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
13.918286,107.987082,Gia Lai,40,highlands,2,2020-06-11,6,2,flood,0,3,3,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
20.737505,105.787938,Hà Nam,22,north,0,2022-08-05,8,2,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
14.213458,108.468023,Kon Tum,39,highlands,2,2020-04-19,4,0,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.558432,105.905006,Đồng Tháp,55,south,3,2023-12-09,12,1,landslide,1,5,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
19.893336,105.774766,Ninh Bình,24,north,0,2021-12-26,12,1,flood,0,4,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
13.80607,109.679021,Bình Định,34,central,1,2022-11-14,11,1,flood,0,4,3,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
9.616913,106.086241,Bạc Liêu,61,south,3,2023-11-26,11,1,storm,2,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.148975,106.160152,Cần Thơ,58,south,3,2022-01-02,1,0,storm,2,4,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
15.704149,107.876274,Đà Nẵng,31,central,1,2023-06-18,6,2,flood,0,4,2,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
12.562175,107.278684,Đắk Nông,42,highlands,2,2020-06-30,6,2,landslide,1,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
21.392166,106.004681,Hải Dương,19,north,0,2022-01-23,1,0,flood,0,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.270862,106.5943,Bến Tre,52,south,3,2021-06-23,6,2,flood,0,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
21.454253,105.617585,Thái Nguyên,9,north,0,2023-11-21,11,1,storm,2,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
16.821543,107.43074,Quảng Trị,29,central,1,2020-06-23,6,2,flood,0,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
20.953919,103.407121,Điện Biên,5,north,0,2020-10-26,10,2,landslide,1,3,4,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
10.295596,104.607772,Kiên Giang,57,south,3,2021-09-30,9,2,flood,0,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
11.309938,106.703711,Bình Dương,47,south,3,2023-01-19,1,0,flood,0,3,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
22.774588,105.920533,Cao Bằng,11,north,0,2021-03-06,3,0,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
20.890566,106.271258,Hà Nội,0,north,0,2020-07-26,7,2,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
18.193293,105.876495,Hà Tĩnh,27,central,1,2021-01-08,1,0,flood,0,5,3,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
20.705337,106.076797,Hưng Yên,20,north,0,2023-02-18,2,0,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
22.517803,104.894388,Hà Giang,14,north,0,2020-09-06,9,2,landslide,1,4,5,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
11.012399,108.475459,Bình Thuận,38,central,1,2021-12-07,12,1,landslide,1,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
12.064327,108.824583,Ninh Thuận,37,central,1,2023-08-31,8,2,storm,2,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
20.792455,107.289721,Quảng Ninh,2,north,0,2023-08-10,8,2,flood,0,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
11.918401,108.675668,Lâm Đồng,43,highlands,2,2022-05-11,5,1,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
10.804555,105.28431,An Giang,56,south,3,2021-05-19,5,1,landslide,1,5,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
16.4726,107.46537,Quảng Trị,29,central,1,2021-02-15,2,0,flood,0,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
16.735596,107.808699,Thừa Thiên Huế,30,central,1,2020-08-19,8,2,flood,0,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
18.797023,105.329418,Nghệ An,26,central,1,2020-07-29,7,2,storm,2,5,4,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
20.694717,105.96467,Hưng Yên,20,north,0,2022-04-25,4,0,flood,0,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
12.296883,109.101313,Khánh Hòa,36,central,1,2021-06-16,6,2,storm,2,4,2,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
17.931786,106.587664,Quảng Bình,28,central,1,2023-03-08,3,0,flood,0,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
10.892753,106.799381,Tiền Giang,51,south,3,2020-01-16,1,0,landslide,1,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.887451,107.018845,TP.HCM,44,south,3,2022-02-10,2,0,landslide,1,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
22.440644,106.312783,Cao Bằng,11,north,0,2021-10-13,10,2,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
20.442206,106.079837,Hưng Yên,20,north,0,2022-10-12,10,2,flood,0,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
19.043001,104.824165,Nghệ An,26,central,1,2022-11-01,11,1,flood,0,5,4,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
13.572482,108.772494,Phú Yên,35,central,1,2021-04-24,4,0,landslide,1,4,2,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
9.370713,106.078831,Bạc Liêu,61,south,3,2022-06-29,6,2,flood,0,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
11.789867,107.344141,Đắk Nông,42,highlands,2,2021-02-07,2,0,landslide,1,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
18.455273,106.071459,Hà Tĩnh,27,central,1,2020-01-29,1,0,landslide,1,5,3,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
8.858898,105.044142,Cà Mau,62,south,3,2020-11-20,11,1,landslide,1,4,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
21.064273,105.805406,Hà Nội,0,north,0,2020-11-15,11,1,storm,2,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
20.81446,106.495356,Hưng Yên,20,north,0,2023-06-22,6,2,flood,0,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
15.585532,108.295382,Quảng Nam,32,central,1,2022-12-10,12,1,storm,2,5,4,5,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
21.519913,106.089644,Thái Nguyên,9,north,0,2021-06-21,6,2,flood,0,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
14.19268,107.986896,Kon Tum,39,highlands,2,2022-07-03,7,2,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
20.618015,106.292662,Hải Phòng,1,north,0,2022-11-09,11,1,flood,0,4,1,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
21.416026,105.307036,Phú Thọ,15,north,0,2022-06-07,6,2,flood,0,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
21.815769,105.208214,Vĩnh Phúc,16,north,0,2021-09-09,9,2,flood,0,2,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
11.864263,108.550464,Ninh Thuận,37,central,1,2023-07-22,7,2,landslide,1,3,2,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
22.583359,104.288363,Lào Cai,3,north,0,2022-11-26,11,1,landslide,1,4,5,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
21.752783,106.075941,Thái Nguyên,9,north,0,2021-03-14,3,0,storm,2,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
19.984877,106.221297,Nam Định,23,north,0,2022-03-02,3,0,storm,2,4,1,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
21.712778,106.033064,Bắc Kạn,12,north,0,2023-09-02,9,2,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,4
